City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,karpathos,35.507,27.2132,51.76,62,100,17.27,GR,1675299287
175,ganzhou,28.8184,115.4327,46.33,58,100,7.99,CN,1675299288
176,solnechnyy,50.7214,136.6319,-5.48,94,75,1.81,RU,1675298898
177,college,64.8569,-147.8028,12.58,84,100,5.75,US,1675299288
178,avera,33.194,-82.5271,60.55,84,100,5.75,US,1675299289
179,wajir,1.7471,40.0573,75.83,72,3,12.24,KE,1675299289
180,tual,-5.6667,132.75,83.28,75,100,10.76,ID,1675299290
181,havelock,34.8791,-76.9013,44.55,88,100,9.22,US,1675299290
182,marang,5.2056,103.2059,80.96,90,100,3.58,MY,1675299290
183,nortelandia,-14.4547,-56.8028,73.27,93,14,2.53,BR,1675299291
184,hithadhoo,-0.6,73.0833,80.49,76,44,9.22,MV,1675299291
185,luderitz,-26.6481,15.1594,63.21,78,2,18.66,NA,1675299292
186,pitimbu,-7.4706,-34.8086,81.19,78,5,8.63,BR,1675299292
187,jalu,29.0331,21.5482,50.67,64,0,8.57,LY,1675298744
188,amga,60.8953,131.9608,-16.82,98,100,2.33,RU,1675299293
189,ostrovnoy,68.0531,39.5131,16.99,92,55,20.13,RU,1675299045
190,stupari,44.3147,18.6842,28.58,100,40,2.3,BA,1675299294
191,olafsvik,64.8945,-23.7142,32.16,66,100,19.53,IS,1675299294
192,ixtapa,20.7,-105.2,68.95,86,100,1.21,MX,1675299295
193,neftcala,39.3742,49.2472,49.23,82,100,4.92,AZ,1675299295
194,kisesa,-3.0833,34.15,61.68,85,9,3.49,TZ,1675299296
195,springbok,-29.6643,17.8865,58.19,63,0,3.31,ZA,1675299296
196,zlobin,45.2924,14.6541,34.59,96,40,3.44,HR,1675299296
197,acapulco,16.8634,-99.8901,78.13,65,0,3.53,MX,1675299294
198,ushumun,52.7833,126.5333,-6.99,83,10,9.37,RU,1675299297
199,pine bluff,34.2284,-92.0032,30.33,88,100,8.99,US,1675299119
200,salalah,17.0151,54.0924,75.29,53,75,3.44,OM,1675298784
201,labrea,-7.2586,-64.7981,74.39,97,100,1.05,BR,1675299298
202,prado,-17.3411,-39.2208,75.87,88,88,6.73,BR,1675299298
203,samarai,-10.6167,150.6667,84.99,70,100,11.27,PG,1675299298
204,pingliang,35.5392,106.6861,29.73,35,100,3.33,CN,1675299299
205,provideniya,64.3833,-173.3,24.91,80,75,13.42,RU,1675298519
206,yatou,37.15,122.3833,30.49,44,100,13.98,CN,1675299299
207,vanimo,-2.6741,141.3028,85.96,61,23,2.19,PG,1675298868
208,bethel,41.3712,-73.414,31.5,48,0,4.0,US,1675299300
209,richards bay,-28.783,32.0377,73.62,86,18,10.51,ZA,1675298705
210,tahta,26.7693,31.5021,51.24,58,4,7.36,EG,1675299301
211,broken hill,-31.95,141.4333,70.12,48,1,13.78,AU,1675298873
